TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
581482,12-09-2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490,United Kingdom
581475,12-09-2019,22596,Christmas Star Wish List Chalkboard,10.65,36,13069,United Kingdom
581475,12-09-2019,23235,Storage Tin Vintage Leaf,11.53,12,13069,United Kingdom
581475,12-09-2019,23272,Tree T-Light Holder Willie Winkie,10.65,12,13069,United Kingdom
581475,12-09-2019,23239,Set Of 4 Knick Knack Tins Poppies,11.94,6,13069,United Kingdom
581475,12-09-2019,21705,Bag 500g Swirly Marbles,10.65,24,13069,United Kingdom
581475,12-09-2019,22118,Joy Wooden Block Letters,11.53,18,13069,United Kingdom
581475,12-09-2019,22119,Peace Wooden Block Letters,12.25,12,13069,United Kingdom
581475,12-09-2019,22217,T-Light Holder Hanging Lace,10.65,12,13069,United Kingdom
581475,12-09-2019,22216,T-Light Holder White Lace,10.55,24,13069,United Kingdom
581475,12-09-2019,22380,Toy Tidy Spaceboy,11.06,20,13069,United Kingdom
581475,12-09-2019,22442,Grow Your Own Flowers Set Of 3,12.25,12,13069,United Kingdom
581475,12-09-2019,22664,Toy Tidy Dolly Girl Design,11.06,20,13069,United Kingdom
581475,12-09-2019,22721,Set Of 3 Cake Tins Sketchbook,12.25,12,13069,United Kingdom
